ID,species,site,total_time,other_birds,Label,time_sec,failures
1,Blue bird,Arboretum,261,7,foraging,0,261
1,Blue bird,Arboretum,261,7,resting,180,81
1,Blue bird,Arboretum,261,7,preening,81,180
2,Blue bird,Arboretum,168,7,foraging,33,135
2,Blue bird,Arboretum,168,7,resting,135,33
2,Blue bird,Arboretum,168,7,preening,0,168
3,American robin,Arboretum,300,5,foraging,64,236
3,American robin,Arboretum,300,5,resting,236,64
3,American robin,Arboretum,300,5,preening,0,300
4,American robin,Arboretum,192,2,foraging,44,148
4,American robin,Arboretum,192,2,resting,148,44
4,American robin,Arboretum,192,2,preening,0,192
5,Blue bird,Arboretum,300,6,foraging,34,266
5,Blue bird,Arboretum,300,6,resting,266,34
5,Blue bird,Arboretum,300,6,preening,0,300
6,Starling,Campus,300,6,foraging,11,289
6,Starling,Campus,300,6,resting,289,11
6,Starling,Campus,300,6,preening,0,300
7,Black cap chickadee,Campus,108,4,foraging,35,73
7,Black cap chickadee,Campus,108,4,resting,73,35
7,Black cap chickadee,Campus,108,4,preening,0,108
8,Black cap chickadee,Campus,213,1,foraging,101,112
8,Black cap chickadee,Campus,213,1,resting,112,101
8,Black cap chickadee,Campus,213,1,preening,0,213
9,Broad shoulder hawk,Campus,130,0,foraging,70,60
9,Broad shoulder hawk,Campus,130,0,resting,60,70
9,Broad shoulder hawk,Campus,130,0,preening,0,130
10,Starling,Campus,300,4,foraging,0,300
10,Starling,Campus,300,4,resting,300,0
10,Starling,Campus,300,4,preening,0,300
