plot,Black_Birch,Black_Oak,Chestnut_Oak,Dogwood,Hemlock,Red_Maple,Red_Oak,Sassafras,Serviceberry,Striped_Maple,Tulip_Tree,Tupelo,White_Oak,White_Pine,Witch_Hazel,Yellow_Birch
A1,0,0,18,0,0,50,0,0,0,0,0,0,0,9,0,0
A2,0,0,0,0,0,21,0,0,0,0,0,1,0,2,0,0
A3,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
A4,4,0,0,0,0,4,0,0,0,0,0,0,10,3,0,0
A5,7,0,0,0,0,0,3,0,0,0,0,0,6,13,0,0
A6,42,0,7,0,1,2,0,0,0,0,0,0,0,1,0,0
A7,0,1,0,0,0,29,0,0,0,0,0,0,0,3,0,0
A8,1,0,10,0,0,13,1,0,0,0,0,0,0,0,0,0
A9,0,0,9,0,0,25,0,0,0,0,0,2,0,2,0,0
A10,0,0,0,0,0,35,0,0,0,0,0,0,0,5,0,0
A11,5,0,86,0,0,64,1,0,0,0,0,0,0,7,0,0
A12,0,0,2,0,0,5,3,0,0,0,0,0,0,0,0,0
A13,0,0,0,0,0,25,1,0,0,0,0,0,0,5,0,1
A14,0,0,0,0,24,0,0,0,0,0,0,1,0,6,0,0
A15,12,0,0,0,0,42,0,0,0,0,0,1,0,0,0,0
A16,5,0,1,0,0,80,0,0,0,0,0,1,0,1,0,0
B1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
B2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
B3,5,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0
B4,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
B5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
B6,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0
B7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
B8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
B9,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0
B10,1,0,0,0,1,34,0,0,0,0,0,0,0,2,5,0
B11,0,0,17,0,0,6,1,0,0,0,0,0,0,0,8,0
B12,0,0,5,0,0,3,0,11,0,0,0,0,0,0,3,0
B13,0,0,2,0,0,1,0,0,0,0,0,0,0,1,7,4
B14,0,0,1,0,0,3,0,3,0,0,0,0,0,0,5,0
B15,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
B16,4,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
C1,11,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0
C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
C5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
C6,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
C7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
C8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
C9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
C11,0,0,1,0,4,4,1,0,0,0,0,0,0,9,0,0
C12,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
C13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8
C14,0,0,1,0,1,2,0,0,0,0,0,0,0,2,0,9
C15,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
C16,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
