Site,species.number,spp_rich_treat,N Rows,Mean(totalB),Mean(richB),Mean(div_hB),Mean(abundS),Mean(richS),Mean(div_hS),Mean(richP),Mean(abundP),Mean(div_hP),Mean(visits.x.degree)
01JM1,0.control,0,1,8,4,1.2554823252,73,4,1.2381275097,2,2,0.6931471806,12.25
01JM1,1.one,1,6,22,8.1666666667,1.7500421194,359.83333333,12.333333333,1.4591018074,2,4.6666666667,0.4932739217,17.896488696
01JM1,2.two,2,15,20.8,8.9333333333,1.7867722054,290.26666667,12.333333333,1.4315320976,3.2,5.4,0.8888893563,27.122405378
01JM1,6.six,6,1,8,6,1.7328679514,205,9,0.8051824954,1,1,0,37.333333333
02JM2,0.control,0,1,6,4,1.2424533249,86,7,0.8267739372,3,4,1.0397207708,5.25
02JM2,1.one,1,6,17,7.3333333333,1.6133724859,142,8.6666666667,1.1900356481,3.8333333333,8.1666666667,1.1198206213,16.483333333
02JM2,2.two,2,15,17.866666667,7.3333333333,1.6526917572,229.13333333,11.133333333,1.4992071069,5.8666666667,12.8,1.3864206105,19.984830377
02JM2,6.six,6,1,17,7,1.823873316,126,16,2.0364626819,13,38,2.1203732256,14.571428571
03SS,0.control,0,1,3,2,0.6365141683,135,6,0.8870574574,3,5,1.054920168,22
03SS,1.one,1,6,11.333333333,6.1666666667,1.4422545266,123.66666667,4.8333333333,0.6241092451,2.3333333333,9,0.4125958175,19.254166667
03SS,2.two,2,15,14.933333333,6.7333333333,1.5420750779,88.066666667,5.7333333333,1.0083185615,4.0666666667,10.333333333,0.9956293164,22.899450457
03SS,6.six,6,1,22,14,2.5001380264,56,8,1.3293795366,4,10,1.0888999753,23.857142857
04AJ,0.control,0,1,15,7,1.7489707508,41,1,0,0,0,0,16
04AJ,1.one,1,6,15,6,1.3808655697,184.5,5.3333333333,0.9909626481,1.8333333333,2.1666666667,0.51042155,15.53989899
04AJ,2.two,2,15,18.933333333,7.4666666667,1.7447673758,81.466666667,4.3333333333,0.9122587866,1.8,2.7333333333,0.4957075893,21.422274022
04AJ,6.six,6,1,33,11,2.0165307931,70,11,1.5395546805,2,3,0.6365141683,21.636363636
05PF1,0.control,0,1,3,1,0,78,4,0.9219603939,1,1,0,10
05PF1,1.one,1,6,10.833333333,3.8333333333,1.1216021457,78.5,6.3333333333,1.1670859605,1.3333333333,1.5,0.3563888433,23.208333333
05PF1,2.two,2,15,8.8666666667,4.6,1.28309888,130,7.5333333333,1.1719218353,1.2,2.6666666667,0.2247761452,20.947539682
05PF1,6.six,6,1,7,4,1.2770342595,74,7,1.5404115351,9,19,1.9133036568,31.5
06PF2,0.control,0,1,0,0,0,23,4,0.5305096302,1,1,0,0
06PF2,1.one,1,6,15.166666667,6.1666666667,1.420942127,63.5,5.6666666667,0.986693557,0.8333333333,0.8333333333,0,25.078296703
06PF2,2.two,2,15,16.6,7.1333333333,1.6504305857,88.4,7.4,1.1068126224,1.4,1.4666666667,0.3461971234,21.896143671
06PF2,6.six,6,1,20,10,2.1809455606,109,13,1.4644734007,3,5,0.9502705392,23.636363636
07ZM,0.control,0,1,3,2,0.6365141683,28,5,1.3473080096,0,0,0,8.3333333333
07ZM,1.one,1,6,16.166666667,7.1666666667,1.551939826,137.5,5.6666666667,0.877643472,5.6666666667,8.3333333333,1.3832049652,25.076587302
07ZM,2.two,2,15,16.466666667,7,1.6858995737,196.8,10.666666667,1.2606222023,3.6,6.4,0.9590287229,22.351269841
07ZM,6.six,6,1,5,3,1.054920168,38,5,1.1104394271,4,4,1.3862943611,35
08NEI,0.control,0,1,4,4,1.3862943611,656,12,2.0522464635,0,0,0,21.75
08NEI,1.one,1,6,14.333333333,6.6666666667,1.5222358962,376.16666667,13,1.5151598862,3,4.8333333333,0.7649610409,20.559027778
08NEI,2.two,2,15,10.266666667,5.6,1.5121475832,387.13333333,11.666666667,1.4135825336,2.6,3.6,0.6980175624,22.118285233
08NEI,6.six,6,1,34,11,2.0984956803,1054,17,1.4505430337,4,34,1.0399680864,31.909090909
09DITO,0.control,0,1,10,4,1.1682824502,0,0,0,1,6,0,5.5
09DITO,1.one,1,6,17.833333333,7.8333333333,1.5842387004,153.16666667,5.5,0.8521926027,5.5,11.5,1.3415593492,18.972222222
09DITO,2.two,2,15,14.666666667,7.6,1.82519429,57.466666667,5.7333333333,1.0431118861,4.9333333333,11.533333333,1.2241766653,19.917810893
09DITO,6.six,6,1,17,8,1.9869667702,137,6,1.1650174678,5,8,1.4941751383,30.875
10JG,0.control,0,1,7,5,1.5498260459,345,6,0.9508933832,1,2,0,10.8
10JG,1.one,1,6,11.166666667,7,1.7275924402,154.5,7.5,1.2617708334,3,4,1.0136216787,20.324074074
10JG,2.two,2,15,17.533333333,7.6666666667,1.6718263457,129.53333333,8.4,1.1259066073,3.8666666667,8.3333333333,1.0098215251,24.146203704
10JG,6.six,6,1,30,11,2.1238608472,241,22,1.995422752,9,30,1.9357474155,14.75
