plot,black.birch,chesnut.oak,hemlock,red.maple,re.oak,black.oak,blackgum,unk.,cherry,str.maple,white.pine,witch.hazel
1,463015,1723086,4707906050992086,332084,1320665,0,1950563598722385,0,4340105,0,2360227038217189,0
2,8780141111786561,66600725,0,4820912093945955,113004,0,3690896050961086,0,0,0,2540735748409107,0
3,1153004128344051,64009525,0,566057375,0,0,0,0,0,0,4107154140157612,0
4,0,85005475,6044904458501274,9430388670347836,0,181053125,7096178344050956,28026,0,0,0,0
5,3014,249004125,0,7170854657642938,1320665,0,0,7303236942669841,1060032197456021,0,0,0
6,0,49303725,0,7805,463015,0,0,2350610414015761,0,0,0,0
7,7090102444214984,1760625,2430068579620191,80206625,0,0,0,0,0,0,0,0
8,510025,0,1590057453025672,226008,0,0,0,0,0,0,0,0
9,5420281122613535,0,7920332356681102,356058625,23074625,0,0,0,0,0,0,0
10,7907226114620319,1675070124203678,0,132086125,0,0,9063375795971656,630585,0,0,0,0
11,0,1372076875,3501114649663471,580875,0,0,23074625,0,0,0,0,0
12,0,18450535,0,349052125,0,0,185026,0,0,86054625,12056,2207358678371051
